itemid,shopid,name,image,price,stock,rating_star,cmt_count
43972694547,1257811163,"Zeus G-61 Wired 61-Key RGB Mechanical Gaming Keyboard – Type-C, Blue Switch, Portable Design",ph-11134207-7r98y-m03vmz95k8hw2a,69900000,1,,
29674019177,822608811,Zeus x Raiku Wired Rainbow LED Gaming Keyboard Bundle And Mouse Set 98 Silent Media Keys Volume Knob,cn-11134207-7ras8-m58dqvbe2gu369,52800000,1,,
43601892451,1257811163,Ergonomic Zeus Gaming Keyboard and Mouse Set with Colorful LED Backlight,ph-11134207-7r98r-lwi0lffrh6h0ba,25800000,1,,
25246551930,1257811163,"Zeus 61-key wired Type-C mechanical keyboard with blue switches, RGB, portable, model G-61.",sg-11134253-824i4-mf0g6vft3uvh33,159100000,1,,
27201131151,822608811,Zeus GD-88 Hot Swappable Mechanical Gaming Keyboard Wired 82 Keys Color Backlit With Volume Knob,sg-11134201-7rdwh-lzr1pg1mlgf6b7,85900000,1,,
5337236171,272447794,AULA Stock F2088 True Mechanical Keyboard Gaming Keyboard Wrist Rest Multimedia Knob Marco Programming,cn-11134207-820l4-miflm82p1edj4a,117900000,1,,
42320414737,1257811163,HP Mechanical Gaming Keyboard Hybrid backlight ,sg-11134201-7rauf-mb394zzdo6w9dd,107500000,1,,
23316390751,272447794,AULA F3261 61 Keys Wired Mechanical Keyboard RGB Hot Swappable Compact Gaming Keyboards LED Backlit Keyboard Type-C Mode,cn-11134207-820l4-miflt1bh8ef624,91900000,1,,
43764488194,1563741984,Aula F75 Gaming Mechanical Keyboard 3in1  75% 80 Key RGB Tri-Mode Wired Bluetooth Hot Swappable,ph-11134207-81zto-mijlztjuiv487e,279900000,1,,
40153923757,820983006,FURYCUBE IP98 Membrane Keyboard with Smart Knob Waterproof RGB Lighting Mechanical Feel Keyboard,sg-11134201-7rat6-mat81165c8373c,78900000,1,,
24330895377,954280067,AULA F75 Wireless Mechanical Keyboard 75% GASKET Structure  RGB Hot swappable Custom Keyboard With Knob,cn-11134207-7ras8-m299tldv6has0a,288900000,1,,
