itemid,shopid,name,image,price,stock,rating_star,cmt_count
47203314332,1702165413,[BIG SALE] AULA S98 Pro Customized Mechanical Keyboard 96Keys With RGB Light Tri-mode Bluetooth/2.4G,ph-11134207-81ztq-mif5mhzwkwzldd,122900000,1,,
41413930378,591619972,Furycube IP98 Wireless Keyboard Waterproof Wired Keyboards RGB Mechanical Feel For Office Gaming,ph-11134207-7ra0r-mdlmfpfy110qd7,79900000,1,,
26210712560,1159948666,ElecFox INKY 75 Aluminum Full Build Mechanical Keyboard 75% Layout Wired Wireless Mode RGB Keyboard,cn-11134207-7ras8-m95dyue5olr1f2,388800000,1,,
22767726896,272447794,AULA F2088W PUNK Mechanical Gaming Keyboard Multimedia Knob with Backlit for PC and Laptops,cn-11134207-820l4-miflmh414k5e6e,136900000,1,,
13799420354,504299551,Akko 2 Pack-90 Pcs V3 Cream Yellow Pro Switch With Stable Dustproof Stem For Mx Mechanical Keyboard,cn-11134207-7qukw-lg3d9hqsbuke99,53000000,1,,
25891953370,1141698333,JBLUE K87 Wirde Keyboard 87Keys USB  Mechanical Keyboards Responsive Typing & GamingWith RGB Light,ph-11134207-7rase-m6xh9xishms568,18600000,1,,
43424849884,1622203535,Attack Shark X65HE Pro Quickly Trigger Mechanical Keyboard Wireless Magnetic Switch Hot Swappable,ph-11134207-81ztn-mfyv03rc9selb9,122500000,1,,
24450946584,451633403,ZIFRIEND ZA616 61Keys Wired Keyboard Hot-Swappable RGB Pudding Keycaps Mechanical Keyboard,ph-11134207-7r98x-lo2jsvowdg89d3,69800000,1,,
43913093818,1563741984,Aula F99Pro 3in1 Mechanical Keyboard 99 keys Gasket Gaming Three Mode Connection Hot-swap Gasket,ph-11134207-81zth-mijlyxt6wgzn56,346900000,1,,
26935126597,451633403,Attack Shark X85 Pro Wireless Gasket Mechanical Keyboard 75% Tri-Mode Customize RGB Creamy Keyboard,ph-11134207-7rasi-m92rc4qqvzn79e,269900000,1,,
29568228414,340250052,Ajazz AK820 Wired Detachable Mechanical Keyboard CNC Knob Control 75% Gasket Mount Gaming Keyboard,ph-11134207-7rasc-m2uf26jqj47324,129900000,1,,
47351957529,1682550095,[December All Out Sale] Aula F75 Gaming Mechanical Keyboard 3in1 75% 80 Key RGB Tri-Mode,ph-11134207-81ztg-mhcyk4ecwmx7ff,128500000,1,,
